data;gringos_comprados;gringos_vendidos;institucionais_comprados;institucionais_vendidos;bancos_comprados;bancos_vendidos
13/05/2021;290526;166970;207178;422299;278920;228285
14/05/2021;283271;175553;213951;426139;296440;234705
17/05/2021;293875;179873;207521;429263;312750;245530
18/05/2021;298319;181617;204512;431524;322528;252878
19/05/2021;294406;191062;216025;426665;330948;263083
20/05/2021;307816;203852;210449;432879;340403;266198
21/05/2021;313981;206482;208356;427751;347198;273548
24/05/2021;317485;212387;208830;428694;349323;274813
25/05/2021;311580;233052;220219;428518;371408;282873
26/05/2021;321679;243862;227609;436992;386638;298218
27/05/2021;334983;283748;265224;477266;408003;293168
28/05/2021;345414;307578;324717;544525;458428;325798
31/05/2021;352104;318963;338574;571422;507803;354058
01/06/2021;232986;154736;177800;408147;292255;172045
02/06/2021;245606;157281;167044;408961;294450;176165
04/06/2021;253758;155656;171033;410707;287690;182915
07/06/2021;256526;160713;183175;414580;284285;187690
08/06/2021;256591;150382;172795;422111;293025;187505
09/06/2021;256649;152190;174280;411435;304700;210205
10/06/2021;258699;150892;175978;411626;304130;217205
11/06/2021;254192;160856;175571;410533;317715;219780
14/06/2021;263045;164564;182683;410732;313990;231665
15/06/2021;260337;161860;188329;414477;314670;236215
16/06/2021;267827;169790;188761;408793;325440;243890
17/06/2021;245862;180205;197939;405454;342530;241820
18/06/2021;269609;175450;195317;416117;336905;246560
21/06/2021;270320;193725;180968;416255;365490;248775
22/06/2021;275272;208103;189253;430827;383830;258365
23/06/2021;289933;254458;183560;430485;426140;260400
24/06/2021;311685;261213;176888;440010;432420;271945
25/06/2021;334587;280799;177602;442640;450645;292210
28/06/2021;355580;301306;196789;459638;453330;301205
29/06/2021;386152;323867;235902;494232;521870;378970
30/06/2021;415301;328663;281586;568069;585005;428900
01/07/2021;289652;155574;128826;467708;338040;160880
02/07/2021;264555;160686;136016;465694;344955;151260
05/07/2021;264135;163751;136274;466787;351000;154355
06/07/2021;256382;164661;130082;462657;367875;157285
07/07/2021;239293;178687;130186;447428;389405;159440
08/07/2021;224069;185412;132481;447349;402765;154380
12/07/2021;215229;199348;139853;444355;415210;157135
13/07/2021;210233;204971;138363;436404;424810;163035
14/07/2021;214091;219140;136584;436734;435945;165490
15/07/2021;224630;216381;135835;444963;437335;166770
16/07/2021;219270;224991;135959;445882;453715;167470
19/07/2021;218446;224593;138093;445690;458250;174255
20/07/2021;214255;242317;140545;440271;473089;171055
21/07/2021;221916;253932;143931;442728;474629;172710
22/07/2021;229296;258243;141545;444832;478325;175145
23/07/2021;226397;267852;143105;440043;479224;173245
26/07/2021;235455;293575;146603;443875;495668;174305
27/07/2021;241235;298961;149938;446519;491548;177695
28/07/2021;250104;293665;168462;465752;489345;188938
29/07/2021;298332;351815;295742;593304;527870;215534
30/07/2021;310770;372256;308539;635088;568760;211594
02/08/2021;222929;98586;194919;445646;267585;170520
03/08/2021;226059;123890;195500;442738;293085;178980
04/08/2021;224631;127510;201617;441123;290291;179485
05/08/2021;214957;136567;205489;435194;299346;179085
06/08/2021;217766;128511;209045;436504;291085;184000
09/08/2021;221481;133384;212045;434729;286953;185115
10/08/2021;223716;140582;207584;431673;289521;186745
11/08/2021;231568;144559;204585;439376;298273;190715
12/08/2021;229770;140654;210632;429995;284743;191890
13/08/2021;223327;153952;219516;423476;294136;196210
16/08/2021;223433;152688;221342;419377;289651;202225
17/08/2021;217034;152596;224317;418915;291836;203885
18/08/2021;219383;144745;230056;416444;278961;209855
19/08/2021;206724;148241;239434;416767;277246;210510
20/08/2021;204884;150494;243880;414538;278404;216225
23/08/2021;216674;152279;248753;412441;268839;221335
24/08/2021;224596;162684;248997;421712;265319;213445
25/08/2021;238687;170149;246707;422463;255389;209090
26/08/2021;221721;171754;244079;426939;280555;207306
27/08/2021;205867;183204;258487;442123;303691;209737
30/08/2021;238383;211621;312785;501930;315301;218472
31/08/2021;247219;259641;342034;554385;373651;212812
01/09/2021;181809;164689;191126;425615;294108;121553
02/09/2021;178741;178732;195736;417909;304238;128093
03/09/2021;173071;180127;198177;419935;312773;126913
06/09/2021;169629;180092;198320;422211;316398;126813
08/09/2021;176037;170902;201235;422714;306898;133268
09/09/2021;171005;171514;194897;422979;317170;135648
10/09/2021;182655;173733;191836;426989;317550;135468
13/09/2021;187396;174843;187507;428989;318748;136783
14/09/2021;189791;183643;179104;420621;326433;136698
15/09/2021;192919;191798;178835;422076;334954;137523
16/09/2021;210161;200318;174341;435087;352737;143418
17/09/2021;195499;193178;178568;427727;348237;143293
20/09/2021;197919;203448;179848;420997;353392;149493
21/09/2021;190640;201288;179717;425262;359792;147268
22/09/2021;190086;197368;175153;429918;373111;153813
23/09/2021;190593;199396;175128;435782;384966;156023
24/09/2021;194962;192196;174867;435591;383047;164908
27/09/2021;201223;210651;191603;446618;411373;185329
28/09/2021;212787;235850;204847;441065;451210;229533
29/09/2021;226213;238737;232373;481315;514165;289783
30/09/2021;251667;235311;226093;545178;575117;307223
01/10/2021;220705;98745;125560;449304;331659;154470
04/10/2021;227534;98418;128353;449181;329532;158410
05/10/2021;224429;98324;130075;448630;330060;155905
06/10/2021;229929;99379;130990;447955;332589;164414
07/10/2021;222439;102809;133458;449106;341727;163804
08/10/2021;218760;101667;131654;450440;347932;162044
11/10/2021;222640;97072;131006;450987;343167;166094
13/10/2021;237575;94959;128788;447297;327982;169799
14/10/2021;254287;92367;124327;450491;341428;194109
15/10/2021;256620;94508;125102;457826;351911;202514
18/10/2021;274896;91488;123218;467698;354801;211884
19/10/2021;273364;96414;128268;458165;353276;215954
20/10/2021;279304;102151;126206;458186;354166;213974
21/10/2021;300980;111259;131569;459903;339531;207059
22/10/2021;302458;116343;140337;448020;329456;211314
25/10/2021;308848;129328;145822;448286;328266;210139
26/10/2021;320693;147143;151968;448531;325641;207714
27/10/2021;348487;178938;164807;462279;336171;214629
28/10/2021;365317;196958;232566;518748;339982;224320
29/10/2021;403746;231500;248314;581493;382922;223555
01/11/2021;220167;147957;193497;363883;225960;144645
03/11/2021;206195;157282;196712;359021;234095;144470
04/11/2021;211680;155875;194728;359942;231848;147805
05/11/2021;212290;169600;199588;361482;247443;153540
08/11/2021;219875;177977;200401;364138;251203;155860
09/11/2021;218535;199132;203255;362767;271953;158520
10/11/2021;227554;201817;197677;362353;275718;162760
11/11/2021;227565;209857;196872;357689;289233;175030
12/11/2021;230699;215792;196771;359545;294861;178590
16/11/2021;234424;211097;192478;357907;293571;180190
17/11/2021;237061;203523;190291;359701;292721;184430
18/11/2021;233268;207517;192636;359060;306531;189950
19/11/2021;231545;212347;184633;356968;317565;189210
22/11/2021;227242;218346;187195;352756;320013;187985
23/11/2021;247765;220403;189298;354087;310840;193805
24/11/2021;251065;219593;186417;357376;312930;193355
25/11/2021;249400;221378;189709;360593;319635;197400
26/11/2021;245536;215569;200026;357779;310749;212785
29/11/2021;281684;274206;282157;435676;360984;239325
30/11/2021;307413;289403;284490;498372;414505;241490
01/12/2021;181043;117277;188409;359955;202970;125805
02/12/2021;178853;115207;186224;361000;207230;129875
03/12/2021;185303;119972;182120;366586;215585;129400
06/12/2021;183758;124016;182560;367852;224290;131830
07/12/2021;180218;132766;185444;369536;236695;133050
08/12/2021;185902;140101;187184;372350;247470;142010
09/12/2021;196630;135321;184573;373007;242335;148705
10/12/2021;213307;129240;180538;376899;232404;153285
13/12/2021;220872;124940;174406;378952;231659;155470
14/12/2021;225022;134035;178152;377718;245234;167740
15/12/2021;235962;130098;178964;383255;248722;181305
16/12/2021;237567;150356;188882;385647;264125;183235
17/12/2021;235542;161191;197761;381661;291230;212105
20/12/2021;234402;169218;199052;372412;298287;222165
21/12/2021;241387;181458;196333;376489;315102;225860
22/12/2021;235277;190093;193569;376402;322672;219845
23/12/2021;242157;193253;191289;376562;328050;225253
27/12/2021;238717;199313;196177;375885;365675;258793
28/12/2021;245548;227280;206021;382325;392121;265772
29/12/2021;269273;251205;264973;440422;420941;299982
30/12/2021;267014;296465;296331;441631;432841;295472
03/01/2022;189668;162326;189975;282595;114751;86080
04/01/2022;196583;164513;185095;283970;121823;89870
05/01/2022;201998;165879;179723;281688;121609;90800
06/01/2022;205463;173288;178560;288830;136343;95405
07/01/2022;193828;177423;177846;291116;153298;96550
10/01/2022;203743;187542;178698;292050;158544;101360
11/01/2022;184948;192012;180533;300500;186499;98685
12/01/2022;182523;205122;181464;309975;214153;104950
13/01/2022;184083;214041;177659;306480;219712;101645
14/01/2022;186038;209961;179925;307451;211922;101710
17/01/2022;187083;210216;177462;306788;212777;101830
18/01/2022;191504;220894;177504;299771;215185;104420
19/01/2022;196209;237824;179338;304110;230347;105757
20/01/2022;202933;246225;181328;312474;248108;115557
21/01/2022;216613;273465;184661;310417;263323;122447
24/01/2022;220023;294192;183845;302864;281523;126057
25/01/2022;218638;294010;183890;307876;295063;135857
26/01/2022;229504;311144;184414;312365;308354;136430
27/01/2022;248397;313331;205678;336627;324175;165534
28/01/2022;267393;332150;350201;482925;440606;278682
31/01/2022;275774;363238;384848;547123;486224;273142
01/02/2022;193389;143317;202495;423102;213978;89510
02/02/2022;207339;114737;202467;424714;218808;135355
03/02/2022;219509;122094;206072;423914;214700;137715
04/02/2022;208673;124893;202960;415596;226644;139725
07/02/2022;208048;125123;201645;417606;234504;145265
08/02/2022;208193;129660;199584;412045;239146;151575
09/02/2022;211291;124710;199378;419447;245731;158890
10/02/2022;201816;137935;208001;419550;261926;166110
11/02/2022;208056;151473;207665;424766;274651;166655
14/02/2022;215316;148898;203904;430965;270626;162415
15/02/2022;221718;156158;205819;436442;278631;169930
16/02/2022;236952;165986;213732;453156;281776;177285
17/02/2022;257507;196306;220186;459600;271961;157510
18/02/2022;249762;203021;224893;464427;284811;157140
21/02/2022;256328;212721;226862;462617;281921;161550
22/02/2022;262249;220717;241471;480526;280711;153570
23/02/2022;283545;242907;254116;490957;301671;174300
24/02/2022;309722;258830;378666;587091;330439;237583
25/02/2022;322310;289271;400055;622062;378274;253018
02/03/2022;222120;120953;238867;451311;173463;124838
03/03/2022;240865;139170;240550;451492;181093;132298
04/03/2022;251430;133200;236450;456177;180483;137283
07/03/2022;255870;136855;231400;458297;192203;140693
08/03/2022;264370;139970;232293;462985;183613;133478
09/03/2022;271084;147500;224735;480531;216163;143373
10/03/2022;281149;160459;226318;479186;216784;143398
11/03/2022;280329;161531;222212;477268;222374;147223
14/03/2022;274344;163092;222080;476380;240454;156823
15/03/2022;270869;160458;220268;474628;258465;172213
16/03/2022;264014;169868;222699;481829;262585;155038
17/03/2022;264594;169455;223958;483298;257692;153813
18/03/2022;270569;169610;224487;482985;262705;165773
21/03/2022;270359;177819;222433;489277;270460;161123
22/03/2022;281109;183678;219243;506825;299562;174373
23/03/2022;291594;184505;228457;520226;287271;167903
24/03/2022;304496;176298;223202;522425;288906;187138
25/03/2022;300311;186642;222219;521643;306201;193123
28/03/2022;314741;201789;256080;555358;312492;203908
29/03/2022;301022;200042;337897;635028;338819;216291
30/03/2022;340903;239655;524525;837730;397765;260722
31/03/2022;353366;243813;520900;866183;413533;252810
01/04/2022;243494;95988;299107;586785;181528;88488
04/04/2022;248659;94021;300512;595347;188713;95788
05/04/2022;256674;90283;298577;598154;182047;95618
06/04/2022;260879;95985;301043;601429;183223;96393
07/04/2022;270644;101270;308222;595483;181793;110638
08/04/2022;282574;100004;311221;598025;181585;123633
11/04/2022;297369;98197;321600;602144;180028;146658
12/04/2022;303139;107621;322864;603044;187963;150298
13/04/2022;320719;109356;323240;598525;182393;165503
14/04/2022;325050;116706;330146;594492;175298;169758
18/04/2022;326669;123787;341582;591687;171344;178458
19/04/2022;330123;128576;332546;589936;178404;179113
20/04/2022;353510;141866;325501;592403;195744;197058
22/04/2022;359981;146334;323777;579239;201286;211598
25/04/2022;368316;154474;338204;597147;219840;229442
26/04/2022;361695;150119;340197;593143;221587;229355
27/04/2022;369456;163816;344379;617290;237629;217441
28/04/2022;391457;167782;412459;665279;269243;285626
29/04/2022;393851;178474;437021;673912;285245;308161
02/05/2022;206482;69677;281593;461237;126401;127565
03/05/2022;196507;75317;288293;461007;134066;129085
04/05/2022;217577;80827;304529;472075;123678;140955
05/05/2022;213042;76393;315027;464195;129304;163765
06/05/2022;211569;82426;326677;465624;130554;161620
09/05/2022;205570;85975;334094;460724;123136;162197
10/05/2022;199689;83089;334763;460347;135505;172122
11/05/2022;190144;85300;340023;455854;133998;166077
12/05/2022;205075;88653;312478;450608;139133;159887
13/05/2022;212246;87332;316845;453825;129021;158517
16/05/2022;233665;89764;323108;461830;132202;177357
17/05/2022;237260;98314;317971;465528;131362;162917
18/05/2022;250003;94298;316408;469617;122474;166322
19/05/2022;243421;100248;315886;466865;122806;156472
20/05/2022;243083;101308;314226;470136;138989;170492
23/05/2022;242428;98843;309821;467827;143649;176467
24/05/2022;249108;99205;302297;468586;153624;185702
25/05/2022;240848;82540;287492;466868;171344;207767
26/05/2022;252868;94850;290391;464600;176232;216085
27/05/2022;276925;116069;321110;482773;188643;244790
30/05/2022;287937;137411;396427;559409;223833;269345
31/05/2022;292462;150426;419373;602319;248772;265170
01/06/2022;188988;55229;152582;420702;176785;95010
02/06/2022;203712;59658;150448;423118;175229;98655
03/06/2022;212134;63137;156777;431168;171098;101320
06/06/2022;209294;60116;158097;431311;167287;101547
07/06/2022;225959;63706;164849;427749;170591;119602
08/06/2022;232338;64540;168576;429473;171233;126152
09/06/2022;226194;67965;170479;420487;181193;130822
10/06/2022;228616;61419;166961;408807;166923;134857
13/06/2022;242372;73396;156437;398179;170460;142112
14/06/2022;242682;78548;151692;383136;159552;137537
15/06/2022;252512;74830;154115;396635;168318;149042
17/06/2022;245917;72681;157360;391400;175498;156897
20/06/2022;245687;72521;157766;396761;174883;152382
21/06/2022;232117;75773;158698;392885;183058;149867
22/06/2022;238787;81388;155039;392943;185358;149327
23/06/2022;239192;84161;153539;399903;185001;139102
24/06/2022;243802;85501;155992;407180;177051;129672
27/06/2022;231272;104161;157145;406807;199674;122785
28/06/2022;240262;115471;190568;437781;228644;148905
29/06/2022;299359;153769;246099;497085;261751;199199
30/06/2022;335078;167626;256038;517944;293216;239624
01/07/2022;186979;62268;167876;345981;140071;135876
04/07/2022;177169;70588;174103;344168;146241;132746
05/07/2022;193359;71270;171232;346552;153787;153206
06/07/2022;186880;85629;171087;344940;166732;147651
07/07/2022;179957;80559;168938;338924;176224;161371
08/07/2022;183377;79549;167774;338085;175784;166571
11/07/2022;197379;75411;165179;339622;179460;182244
12/07/2022;207448;87855;161888;337969;187990;186349
13/07/2022;195966;100625;163817;332180;188237;172289
14/07/2022;210271;94795;161338;334109;186032;187734
15/07/2022;212122;96235;160109;335096;184862;185794
18/07/2022;216972;98660;161060;332651;188207;193389
19/07/2022;213622;101715;163309;337765;190297;187349
20/07/2022;221422;104065;167316;339275;185737;193579
21/07/2022;237897;115215;168928;343527;178772;191469
22/07/2022;234507;119170;170249;344258;180397;185004
25/07/2022;229927;128075;174001;339511;178692;182624
26/07/2022;240517;154285;167048;368473;198042;149329
27/07/2022;265738;192779;195599;393947;234929;178251
28/07/2022;282003;205360;240087;451788;324744;263346
29/07/2022;297708;201350;257712;490063;355859;287256
01/08/2022;139640;116082;146366;353842;241131;102563
02/08/2022;144240;115812;148223;357199;243006;108988
03/08/2022;143505;116930;150696;359638;246860;108388
04/08/2022;139225;119265;152008;356100;240120;102963
05/08/2022;142350;115371;154103;356202;231315;104833
08/08/2022;152560;115915;150495;357864;231659;113853
09/08/2022;153760;114377;150572;356759;236109;122403
10/08/2022;157370;122362;147473;360060;245539;125478
11/08/2022;164460;115800;154535;364407;238927;133748
12/08/2022;156225;118792;161391;365980;241441;132318
15/08/2022;159400;137199;158742;362485;255503;134323
16/08/2022;163870;140949;149410;361468;266183;136263
17/08/2022;158360;149459;148518;362274;277973;131313
18/08/2022;159580;145104;154587;374083;280803;132118
19/08/2022;159855;163264;156226;372269;294698;130898
22/08/2022;171929;174048;156156;371181;290824;127878
23/08/2022;183741;182003;153651;375367;287257;121273
24/08/2022;181163;176796;152122;377770;282330;115803
25/08/2022;182361;187296;153217;374225;286833;115619
26/08/2022;186380;198967;156292;373669;293978;117871
29/08/2022;194497;219322;187022;408191;322728;133586
30/08/2022;250297;253487;245946;479192;376228;186106
31/08/2022;266952;285537;258529;515932;454613;217786
01/09/2022;164968;136875;188816;385126;247628;117920
02/09/2022;161447;124037;182173;385577;242718;118665
05/09/2022;156567;123634;185761;399592;248183;109060
06/09/2022;153803;135838;188500;421814;294489;115825
08/09/2022;148618;135045;188281;423737;290964;103945
09/09/2022;155983;159399;185326;427453;309859;101295
12/09/2022;166283;166603;183522;430877;307948;99535
13/09/2022;172475;173205;187995;431800;323823;119725
14/09/2022;173710;173705;189419;432309;325253;124810
15/09/2022;181465;168045;188153;423103;311898;128970
16/09/2022;203054;189434;188947;425248;318816;135600
19/09/2022;182364;195042;189061;419499;329076;126685
20/09/2022;200179;209924;184723;421923;330036;124455
21/09/2022;213374;211024;184411;426105;317001;118555
22/09/2022;246069;230845;183413;442462;340616;142940
23/09/2022;258169;239251;186736;437703;345351;158180
26/09/2022;276764;242458;187843;432406;336426;168790
27/09/2022;287564;277078;185828;421836;362701;177435
28/09/2022;296569;302542;199312;431107;386350;189504
29/09/2022;359599;358867;422583;645377;384605;203839
30/09/2022;344199;385543;471777;659548;423610;235709
03/10/2022;120043;171618;344048;363712;139256;112395
04/10/2022;126823;172259;344155;362056;127156;110720
05/10/2022;125978;169841;352475;370862;139033;121985
06/10/2022;133628;186684;350738;372290;150581;126120
07/10/2022;136502;185973;369014;377229;156306;147390
10/10/2022;135632;191291;367723;380363;170321;149380
11/10/2022;148402;199396;370556;382711;171351;152915
13/10/2022;144997;205330;374483;380595;174751;150140
14/10/2022;155487;202451;375857;377152;169016;160735
17/10/2022;148488;214682;377482;367701;178241;161935
18/10/2022;157153;222160;375404;366807;177408;164445
19/10/2022;168093;223479;372755;366169;172793;166910
20/10/2022;183713;240024;375318;369394;175773;169795
21/10/2022;202853;251573;376763;370617;171374;176805
24/10/2022;223046;237474;373125;373624;160559;191550
25/10/2022;223377;243969;380757;366952;156189;198120
26/10/2022;222452;250074;378969;364360;178394;209785
27/10/2022;252363;275911;383726;367489;177509;218085
28/10/2022;286782;303382;428942;512643;350159;300495
31/10/2022;281947;342026;429964;530004;407319;304030
01/11/2022;130827;140914;216139;353620;203430;100605
03/11/2022;152807;162024;205977;354281;212655;101455
04/11/2022;152596;168524;205295;356875;229790;109735
07/11/2022;163770;158234;197556;341415;218785;130557
08/11/2022;146816;161899;203458;335072;231234;136697
09/11/2022;150231;162514;210012;334226;233559;146627
10/11/2022;198017;171177;230455;332827;202839;164067
11/11/2022;202356;172576;233825;327707;202084;174057
14/11/2022;222732;170426;229849;337914;196224;179005
16/11/2022;216987;169369;234031;327583;209169;198930
17/11/2022;222017;168089;248904;318401;192279;208990
18/11/2022;210862;171579;256717;325488;198024;200461
21/11/2022;219087;176554;256172;326432;194514;208637
22/11/2022;221403;178064;257217;327043;188259;199092
23/11/2022;218363;177284;256209;335572;201454;201995
24/11/2022;219907;183964;254105;341962;207154;195160
25/11/2022;226452;177904;256285;343160;197174;198192
28/11/2022;231762;180749;270184;343619;200110;214103
29/11/2022;262368;234140;293173;457609;358260;257642
30/11/2022;268631;259428;309134;489149;388920;257638
01/12/2022;121944;132890;186544;289566;175750;107112
02/12/2022;122610;144740;184048;285037;180135;103106
05/12/2022;121740;152531;186876;279084;182700;104081
06/12/2022;116860;162296;193809;283468;194925;103745
07/12/2022;116095;174586;200238;281435;206130;110167
08/12/2022;116554;184656;203182;278463;218535;118482
09/12/2022;117529;171956;202014;279884;214450;123983
12/12/2022;120239;160159;201709;278626;203605;124078
13/12/2022;109054;156554;201896;283113;197695;104198
14/12/2022;113234;154717;203448;287308;197525;108453
15/12/2022;117069;168330;207111;279325;197220;109880
16/12/2022;120207;188405;208381;280048;200465;96320
19/12/2022;125322;187370;196667;275509;203790;98670
20/12/2022;122382;208920;198190;285122;238635;102865
21/12/2022;134567;218110;196329;293241;250395;109100
22/12/2022;132437;214791;203448;399735;363725;125704
23/12/2022;132982;213415;191307;399331;387925;140763
26/12/2022;131737;214000;194085;399970;425695;178812
27/12/2022;162392;250425;220022;428117;468835;211247
28/12/2022;195152;278017;333154;537037;474924;226266
29/12/2022;192207;297447;341787;539793;493499;225918
02/01/2023;125122;132202;221365;312137;149475;83038
03/01/2023;110467;125172;218459;317676;193345;108608
04/01/2023;117897;144357;220074;317671;220905;125653
05/01/2023;106347;144062;222267;316628;226655;126954
06/01/2023;117183;152647;220104;319765;231700;130825
09/01/2023;116533;147364;216386;323574;223890;119311
10/01/2023;123083;148574;213405;336578;233950;120801
11/01/2023;135328;147409;209703;340571;235635;125761
12/01/2023;142408;147087;213488;352932;230525;122365
13/01/2023;149083;154415;214330;354055;228470;119141
16/01/2023;152308;151820;216717;354171;220215;118832
17/01/2023;150453;154916;217077;352630;222130;119897
18/01/2023;152998;143131;218378;358754;226285;131599
19/01/2023;168378;140761;223470;364711;211905;131874
20/01/2023;177868;164973;226931;361018;227735;139826
23/01/2023;191493;172002;218548;422106;299630;148331
24/01/2023;223317;171627;225515;447585;295551;160869
25/01/2023;228542;166852;229608;441751;277670;163275
26/01/2023;233783;163709;237041;451163;280655;171035
27/01/2023;273113;193289;246997;463364;327840;225960
30/01/2023;329788;246174;297082;503939;389130;303055
31/01/2023;340088;248659;286366;514638;423565;322650
01/02/2023;173174;108692;136353;325098;211070;136015
02/02/2023;170479;113340;141812;337594;213645;126460
03/02/2023;186477;103189;144808;336634;208980;147855
06/02/2023;191582;105673;146921;331143;204820;151060
07/02/2023;199922;102986;149403;337432;200175;152675
08/02/2023;211617;100478;150462;349829;205920;159150
09/02/2023;207202;105818;162023;342415;211880;165510
10/02/2023;204212;106819;171137;344238;212080;171520
13/02/2023;215982;106460;167796;344671;212985;181495
14/02/2023;219907;112345;171334;347309;213145;176345
15/02/2023;203382;109376;173568;335837;217060;180660
16/02/2023;213632;117731;174572;339656;223530;183225
17/02/2023;214487;126337;175272;347515;233730;177700
22/02/2023;215627;120667;176109;348187;233955;185685
23/02/2023;224094;150127;180374;357279;255440;182750
24/02/2023;239634;152626;203759;387739;271460;201371
27/02/2023;262586;181848;297719;485689;377770;299266
28/02/2023;271249;182544;297845;506850;398328;307306
01/03/2023;125977;80637;171263;351354;239868;136855
02/03/2023;137867;90802;173186;348102;240078;144070
03/03/2023;138515;89629;177348;345210;249688;162370
06/03/2023;140105;107148;177339;342622;266288;167275
07/03/2023;145152;108816;177982;341444;270758;173815
08/03/2023;153392;128411;178740;343562;277118;169440
09/03/2023;156312;128081;179733;349580;287673;178970
10/03/2023;164539;126603;177666;351108;293273;188370
13/03/2023;195094;135533;176373;354575;293018;203410
14/03/2023;210872;134406;177894;359106;288643;214315
15/03/2023;239069;151041;177247;352626;288273;229275
16/03/2023;225868;149180;174382;345586;295013;229880
17/03/2023;224023;143245;171267;345106;295783;231055
20/03/2023;229948;149200;171899;350633;295488;227970
21/03/2023;235608;147315;171448;356427;298423;233225
22/03/2023;236896;166147;172232;356022;302778;220480
23/03/2023;256306;166447;174326;359861;288028;224750
24/03/2023;245406;178432;178179;350069;284728;212850
27/03/2023;244012;191287;181834;355840;295158;207005
28/03/2023;268179;214086;188693;369672;307435;210187
29/03/2023;297704;245110;217899;393609;332160;233147
30/03/2023;358004;357231;264229;445233;407660;253202
31/03/2023;349534;369906;287206;463020;423590;260027
03/04/2023;180546;162565;179543;285922;161460;97665
04/04/2023;182666;141465;186942;283441;130610;107590
05/04/2023;187041;142735;191796;292810;135740;110070
06/04/2023;194231;142230;190993;300562;138880;111665
10/04/2023;195126;146090;192492;296521;143785;120720
11/04/2023;203866;168760;189537;298751;161390;119730
12/04/2023;204291;204840;196652;300416;206880;134595
13/04/2023;199256;195940;194022;303441;200025;128155
14/04/2023;208566;203230;200276;304315;201220;135695
17/04/2023;229336;202540;198764;309878;199990;141900
18/04/2023;243765;232045;199525;367768;283190;149055
19/04/2023;253030;224323;195490;363865;282820;162610
20/04/2023;254325;229223;197919;365789;285915;163555
24/04/2023;252990;223690;200131;365149;293370;178285
25/04/2023;265901;241146;220170;374603;309195;192650
26/04/2023;285186;256540;259530;400944;331445;227660
27/04/2023;337132;313456;365993;511307;370335;260015
28/04/2023;336019;309090;408561;528898;369733;287123
02/05/2023;179411;93759;249945;323150;123563;150588
03/05/2023;169747;91616;250364;330013;129373;141933
04/05/2023;194216;95976;243928;333871;137478;158133
05/05/2023;190806;94791;247306;336284;149503;170208
08/05/2023;203101;103101;249295;333643;150553;178703
09/05/2023;203436;114616;248449;332712;155488;170853
10/05/2023;206131;121826;243562;334960;165033;171688
11/05/2023;216597;130786;245868;336697;176423;185413
12/05/2023;212827;127404;242443;344234;190388;189968
15/05/2023;210244;146399;240861;349394;218853;191693
16/05/2023;232555;149521;240379;354806;214768;196968
17/05/2023;244480;160766;242984;354536;214393;198393
18/05/2023;260566;161856;238506;353129;212548;205223
19/05/2023;272863;173839;236076;354468;210423;204118
22/05/2023;277585;177264;236870;351559;200823;200128
23/05/2023;277385;189909;238915;347964;190463;181048
24/05/2023;282940;205920;241059;356762;222993;195363
25/05/2023;309575;216824;235018;357242;209208;183163
26/05/2023;304695;234464;242377;356731;227143;181103
29/05/2023;348235;279799;247065;353419;247075;203035
30/05/2023;371565;294009;325613;434157;303130;264740
31/05/2023;387798;312619;380471;470613;311705;292900
01/06/2023;108057;129260;237382;274537;134290;93510
02/06/2023;125782;141125;236506;277031;132535;95575
05/06/2023;150062;161920;234437;277577;125485;90200
06/06/2023;167462;199165;236543;276863;150080;97360
07/06/2023;172312;206729;234626;274942;147400;94635
09/06/2023;168407;212509;236482;274153;147840;81250
12/06/2023;175952;207564;236214;283685;155615;93585
13/06/2023;177087;219938;233346;282543;169180;91195
14/06/2023;181407;210453;232609;292121;175390;102605
15/06/2023;191862;216439;233705;296346;178410;105950
16/06/2023;199982;218574;229235;296191;178230;106375
19/06/2023;198902;219074;232094;302620;191130;111550
20/06/2023;211162;213291;234147;301116;186955;128035
21/06/2023;223352;238766;245525;303999;211055;144425
22/06/2023;246447;257657;242906;305424;225525;161480
23/06/2023;242162;260323;243924;300821;232140;167410
26/06/2023;245282;259460;242675;302415;235010;170250
27/06/2023;257577;251130;237971;296831;234395;192005
28/06/2023;306212;282865;251771;305109;272375;250455
29/06/2023;319507;289396;362066;416378;391795;380750
30/06/2023;324416;325386;427770;472196;441010;407865
03/07/2023;192533;201146;261149;327482;246630;161325
04/07/2023;192078;202570;263811;326655;243125;160805
05/07/2023;191768;214465;263103;329202;261000;161075
06/07/2023;212083;221252;260067;325494;255145;165780
07/07/2023;219888;238934;268483;325883;254165;162875
10/07/2023;225428;240979;271967;325497;259800;173050
11/07/2023;239508;262731;274329;335332;279380;176315
12/07/2023;246968;295181;273731;340204;322220;188525
13/07/2023;244963;298392;277594;339946;320685;188515
14/07/2023;248998;322442;279482;341659;357245;205715
17/07/2023;251793;320182;279816;343673;361910;211915
18/07/2023;250738;334271;279830;334998;368095;210795
19/07/2023;255168;343067;279225;335367;374535;212000
20/07/2023;269478;347669;279754;339304;369495;214290
21/07/2023;276568;362801;283536;333499;380215;226110
24/07/2023;277273;365314;295076;332656;382715;238670
25/07/2023;305813;380801;299923;334511;387895;255265
26/07/2023;295503;378709;300866;336391;411060;264440
27/07/2023;327155;405148;308719;349062;420210;275615
28/07/2023;404704;469563;383636;436523;451030;309470
31/07/2023;428215;482943;397269;477462;494905;338475
01/08/2023;219203;144898;166325;346401;224955;99170
02/08/2023;245105;170113;160641;348294;241025;106675
03/08/2023;268149;164358;151260;355232;247940;118595
